410,13,0
412,391,380
413,564,551
459,630,614
517,28,56
619,1472,1461
683,596,581
684,537,525
729,665,625
730,331,314
758,462,184
774,118,106
775,1504,1408
776,1053,1005
777,315,303
803,1728,1717
805,4701,4687
806,2292,2279
843,1779,1759
844,1241,1224
847,1024,1005
848,4401,4339
849,8232,8138
850,8863,8807
851,7930,7897
852,3987,3966
853,361,350
890,715,694
891,2464,2412
892,3843,3790
893,5448,5371
894,9329,9159
895,9985,9854
896,6480,6443
906,56,102
936,1172,1154
937,4726,4659
938,8138,7996
939,18398,18117
940,13921,13722
941,6746,6658
942,3016,2965
981,1130,1110
982,1761,1731
983,3109,3069
984,6754,6619
985,16870,16511
986,11480,11210
987,4644,4583
988,4338,4276
989,1903,1878
1026,1857,1843
1027,2098,2075
1029,1132,1121
1030,4028,3980
1031,5256,5164
1032,3989,3904
1033,1529,1494
1034,2590,2527
1035,4636,4551
1036,1562,1522
1078,936,917
1079,866,850
1080,157,144
1123,258,245
1403,841,829
1433,1088,1064
1434,608,580
1478,162,150
1479,2071,2026
1480,1284,1249
1525,209,197
1619,19,8
1884,693,679
1978,410,395
2008,254,241
2054,601,589
